model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
BSC-LT/MrBERT-es,100,1,0.6606863029874231,0.8820960698689956,0.7922705314009661,0.30769230769230765
BSC-LT/MrBERT-es,100,2,0.6638063022965998,0.8515815085158152,0.7398373983739839,0.4
BSC-LT/MrBERT-es,100,3,0.6697142286171064,0.8633093525179857,0.8125,0.3333333333333333
BSC-LT/MrBERT-es,100,4,0.6801396316102197,0.8909090909090909,0.7745098039215685,0.375
BSC-LT/MrBERT-es,100,5,0.7176394352106592,0.8665105386416861,0.7864077669902914,0.5
BSC-LT/MrBERT-es,100,6,0.6440684443439114,0.8787185354691075,0.7677725118483413,0.2857142857142857
BSC-LT/MrBERT-es,100,7,0.6944939742843061,0.8914027149321266,0.792079207920792,0.39999999999999997
BSC-LT/MrBERT-es,100,8,0.666131478012666,0.8828828828828829,0.7821782178217821,0.3333333333333333
BSC-LT/MrBERT-es,100,9,0.6648471131229752,0.8828828828828829,0.7783251231527094,0.3333333333333333
BSC-LT/MrBERT-es,100,10,0.7176394352106592,0.8665105386416861,0.7864077669902914,0.5
